frame	cv1	cv2	energy
17700	-1.093580	-2.157480	2.488994
41700	-0.403030	-2.418920	2.489247
41800	-0.422260	-2.314260	2.499494
77800	2.024490	1.300160	2.500701
29600	-1.507710	-1.475460	2.519169
29700	-1.564810	-1.438790	2.532817
68400	1.742480	0.867140	2.533018
94500	1.359530	1.063640	2.534569
80000	2.540480	0.764760	2.536713
68500	2.005360	0.715580	2.538661
98700	1.465130	0.526210	2.539873
68300	1.962650	0.634890	2.546173
70100	2.526130	0.856270	2.548183
96100	1.144640	1.122020	2.550075
91200	1.553490	0.531440	2.551522
73700	2.223800	0.450130	2.552715
75700	2.588330	0.653620	2.556764
20000	-1.058350	-2.209500	2.560435
70800	2.359800	1.028970	2.561850
9600	-4.458140	2.453120	2.565006
6700	-4.319560	2.701050	2.567172
83000	2.226450	0.928990	2.569870
28900	-1.677220	-1.512360	2.576696
9900	-4.523080	2.619460	2.586590
34900	-0.967330	-2.222840	2.589218
50400	0.272940	-1.015480	2.591144
97000	1.421800	0.875880	2.593192
95900	1.221460	1.121850	2.596762
40200	-0.360600	-2.200380	2.604232
50600	0.297930	-1.044290	2.611057
89200	1.932740	0.174570	2.617016
38100	-1.201350	-2.217290	2.619025
82900	1.912050	1.212730	2.622674
12700	-3.987090	2.914600	2.623291
9700	-4.549550	2.571290	2.636544
63800	2.055650	0.144260	2.638049
33600	-1.042790	-1.684450	2.660083
25900	-1.219700	-1.926720	2.662567
94000	1.633740	0.235080	2.666411
11800	-4.345790	2.572620	2.671425
50000	0.223560	-0.989080	2.671954
61000	2.110290	-0.006860	2.673585
90900	1.108670	0.561830	2.675980
32200	-1.148230	-1.844390	2.687859
76300	1.975920	0.875120	2.688206
26900	-1.003870	-2.268410	2.711751
34700	-1.220440	-2.086940	2.716829
62500	2.010480	0.270410	2.718622
9300	-4.385070	2.326520	2.718632
97100	1.852820	0.173310	2.721796
59700	1.478470	0.547540	2.731870
26100	-1.625190	-1.886650	2.750863
26000	-1.582650	-1.994440	2.751482
57800	2.244920	0.085300	2.763239
65400	1.925610	1.021690	2.764345
