cancer,infiltrates,,rho,p,adj.p
LUAD,T cell CD4+,memory activated_CIBERSORT-ABS,-0.139075107,0.001966906,0.00960582
LUAD,T cell CD4+,memory resting_CIBERSORT,0.178233465,6.91E-05,0.000506364
LUAD,T cell CD4+,memory resting_CIBERSORT-ABS,0.141605737,0.001621152,0.008170608
LUAD,T cell CD4+,memory_XCELL,-0.112448501,0.01247721,0.044410409
LUAD,T cell CD4+,naive_CIBERSORT,-0.003801225,0.93290779,0.957218091
LUAD,T cell CD4+,naive_CIBERSORT-ABS,-0.003801225,0.93290779,0.957218091
LUAD,T cell CD4+,naive_XCELL,-0.093535218,0.037884682,0.113251003
LUAD,T cell CD4+,Th1_XCELL,-0.293774148,2.86E-11,9.01E-10
LUAD,T cell CD4+,Th2_XCELL,-0.11355045,0.011636039,0.042374017
LUAD,T cell CD4+,EPIC,0.236591824,1.06E-07,1.60E-06
LUAD,T cell CD4+,TIMER,0.041758664,0.35483962,0.537557339
LUAD,B cell memory,CIBERSORT,-0.010284598,0.819816115,0.897781336
LUAD,B cell memory,CIBERSORT-ABS,-0.022629262,0.616202307,0.751707469
LUAD,B cell memory,XCELL,-0.229337647,2.63E-07,5.41E-06
LUAD,B cell naive,CIBERSORT,0.089136081,0.047922271,0.122217873
LUAD,B cell naive,CIBERSORT-ABS,0.108271645,0.016172825,0.053209294
LUAD,B cell naive,XCELL,-0.032942005,0.465529203,0.630663448
LUAD,B cell plasma,CIBERSORT,-0.198147732,9.32E-06,0.000107285
